9,9 3,3 9,3 15,3 21,3 27,3 3,9 15,9 21,9 3,15 9,15 15,15 3,21 9,21 -9,9 -3,3 -9,3 -21,3 -3,9 -15,9 -21,9 -3,15 -9,15 -15,15 -3,21 -9,21 -9,-9 -3,-3 -9,-3 -21,-3 -3,-9 -15,-9 -21,-9 -3,-15 -9,-15 -15,-15 -3,-21 -9,-21 9,-9 3,-3 9,-3 15,-3 21,-3 27,-3 3,-9 15,-9 21,-9 3,-15 9,-15 15,-15 3,-21 9,-21
-21,-9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.293 0 0 0 0.026 0 0 1 0.032 0 0.099 0.005 0.056 0.008 0.101 0.01 0 0 0.051 0.006 0 0.366 0.031 0.004 0.072 0.009 0
-3,-15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.036 0 0 0 0 0.003 0 0.032 1 0.003 0.115 0.141 0.04 0 0.015 0.097 0.016 0.003 0.001 0.077 0.014 0.012 0.085 0.055 0.07 0.098 0
-9,-15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.415 0 0 0.003 1 0 0.016 0 0 0 0.001 0.006 0.025 0 0.001 0.007 0 0 0.003 0 0.002 0
-15,-15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0.001 0 0 0.099 0.115 0 1 0.046 0.132 0 0.046 0.041 0.005 0 0.005 0.03 0.005 0.054 0.134 0.023 0.456 0.053 0
-3,-21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004 0 0 0 0 0.011 0 0.005 0.141 0.016 0.046 1 0.01 0 0.003 0.026 0.05 0.009 0 0.047 0.047 0.002 0.024 0.074 0.022 0.072 0
-9,-21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.048 0 0 0 0.002 0 0 0.056 0.04 0 0.132 0.01 1 0.001 0.209 0.098 0.009 0 0.017 0.085 0.009 0.069 0.237 0.041 0.172 0.041 0
9,-9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.007 0.036 0.012 0 0.243 0 0 0.008 0 0 0 0 0.001 1 0.009 0 0 0 0.134 0 0 0.012 0 0 0 0 0
3,-3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.102 0 0 0 0.006 0 0 0.101 0.015 0 0.046 0.003 0.209 0.009 1 0.06 0.003 0 0.03 0.025 0.002 0.099 0.052 0.01 0.054 0.012 0
9,-3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.001 0 0.01 0.097 0.001 0.041 0.026 0.098 0 0.06 1 0.079 0.007 0.001 0.295 0.048 0.009 0.124 0.101 0.047 0.09 0
15,-3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001 0 0 0 0 0.007 0 0 0.016 0.006 0.005 0.05 0.009 0 0.003 0.079 1 0.105 0 0.09 0.409 0 0.016 0.084 0.006 0.037 0
21,-3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.029 0 0 0.003 0.025 0 0.009 0 0 0 0.007 0.105 1 0 0.012 0.086 0 0.002 0.014 0 0.006 0
27,-3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.032 0.005 0.002 0 0.184 0 0 0.051 0.001 0 0.005 0 0.017 0.134 0.03 0.001 0 0 1 0 0 0.094 0.004 0 0.006 0 0
3,-9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.006 0 0 0 0 0.002 0 0.006 0.077 0.001 0.03 0.047 0.085 0 0.025 0.295 0.09 0.012 0 1 0.111 0.007 0.122 0.323 0.037 0.204 0
15,-9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.009 0 0 0.014 0.007 0.005 0.047 0.009 0 0.002 0.048 0.409 0.086 0 0.111 1 0 0.017 0.115 0.006 0.04 0
21,-9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.145 0 0 0 0.024 0 0 0.366 0.012 0 0.054 0.002 0.069 0.012 0.099 0.009 0 0 0.094 0.007 0 1 0.047 0.004 0.079 0.01 0
3,-15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.022 0 0 0 0 0 0 0.031 0.085 0 0.134 0.024 0.237 0 0.052 0.124 0.016 0.002 0.004 0.122 0.017 0.047 1 0.118 0.205 0.167 0
9,-15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004 0 0 0 0 0.003 0 0.004 0.055 0.003 0.023 0.074 0.041 0 0.01 0.101 0.084 0.014 0 0.323 0.115 0.004 0.118 1 0.032 0.236 0
15,-15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.041 0 0 0 0.001 0 0 0.072 0.07 0 0.456 0.022 0.172 0 0.054 0.047 0.006 0 0.006 0.037 0.006 0.079 0.205 0.032 1 0.102 0
3,-21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.006 0 0 0 0 0.002 0 0.009 0.098 0.002 0.053 0.072 0.041 0 0.012 0.09 0.037 0.006 0 0.204 0.04 0.01 0.167 0.236 0.102 1 0
9,-21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
